ID,PALABRA,MASCULINO,FEMENINO
1791,bf,1,1
6094,elreydelmeme,0,1
201,mascara,6,6
6093,siiii,5,5
1788,youtubenuevo,1,0
2814,besos,40,60
167,panza,1,0
200,saco,13,12
175,idiota,6,17
67,siga,34,16
161,junto,28,31
178,prefiero,13,17
49,uno,296,468
96,cielo,52,56
138,menos,136,186
183,tanto,130,189
166,dolor,44,78
123,antioquia,45,42
77,ahora,222,195
2815,deje,18,36
156,estoy,163,252
151,soy,209,281
107,ti,168,313
108,mismo,120,127
2823,encontrara,2,3
172,error,27,30
2821,vernos,2,6
1792,gyw,1,0
163,parasitos,1,1
9469,michael5sos,0,0
6098,libremente,0,1
179,dejar,49,93
6099,cancionrecuerdo,0,1
1780,music,26,16
174,llorar,10,57
1789,prod,6,0
9470,calum5sos,0,0
193,prendio,0,1
1790,mr,4,5
6096,lentamente,6,5
9472,hastag,0,0
210,simple,20,25
1805,wwe,1,1
208,varias,6,9
6102,listado,1,2
240,beso,31,38
1802,ap1yandrek,1,0
2828,andres,48,45
6100,tambienlaralara,0,1
214,bandida,0,1
237,pienso,29,44
1803,parche,7,8
243,pedazos,1,9
1799,vino,16,13
219,llegaras,3,3
6107,amandonos,0,1
6112,odiado,1,3
239,terminemos,0,2
1796,lanzamiento,38,37
1793,repostappa,2,1
230,boygeorge,0,1
6104,ocupada,3,2
242,miles,22,18
236,gritarle,0,3
2837,danza,0,3
1750,arrepentido,8,0
6105,besarme,1,2
1764,ap1yandreyk,3,0
212,bella,21,35
6101,incluya,1,2
2825,bailando,9,13
1795,preview,2,0
2829,cepeda,20,11
217,querida,11,14
6106,amanecer,16,8
1784,ap1,3,0
1785,andreyk,3,0
235,gustaria,22,19
228,cat,5,8
2835,estados,18,5
6108,sosteniendote,0,1
2831,danzar,0,1
1798,171015pendientes,1,0
2830,irse,8,15
1807,maluco,6,3
2834,cambiamos,1,3
1806,raw,1,0
233,triste,49,94
6111,b612,3,1
6103,misterioso,0,3
207,siquiera,12,12
2836,jaajajja,0,1
222,disfraz,79,59
2838,puedan,6,10
220,tobillos,0,2
6110,vomitando,0,1
241,rompen,7,2
1794,pierdan,5,7
6109,pelo,6,13
2833,laura,10,13
1801,vean,7,12
2844,gradua,0,1
1809,snapchat,21,11
286,halamadrid,23,13
199,despues,138,137
218,jamas,55,80
30,cuando,557,778
2827,extranarte,2,9
221,ese,215,226
1824,manos,44,55
186,momento,130,120
2842,primo,6,13
57,noche,259,197
188,paso,83,90
1800,aca,108,47
223,puta,44,36
206,rato,24,30
143,claro,54,37
1797,oficial,38,28
182,hace,314,307
196,cara,74,73
227,bien,265,328
50,mis,250,376
98,nos,427,399
238,sin,429,457
216,siento,61,124
225,queda,66,55
279,mentira,22,29
253,humordejueves,0,1
285,equipormliga,0,1
265,dicha,4,12
1808,sigueme,8,6
1823,justicia,60,25
1811,denuncia,19,9
1810,andreyk07,1,0
1833,cuba,13,3
276,tanga,0,3
284,partido,120,49
6113,cerquita,3,2
277,manga,2,2
1830,mayorias,5,1
1822,pacto,5,2
2847,propositos,2,7
1813,abigeato,1,0
1815,monteria,21,15
269,graffitero,0,1
270,lata,2,3
261,fuimos,22,15
263,paciencia,13,25
273,dia01,0,1
2848,micro,1,3
2840,caer,16,14
1818,derrota,12,10
280,mas01,0,1
1827,conocido,11,3
262,4,4,4
1828,ponerles,2,0
1812,responsables,4,8
1832,acuerdos,17,4
267,importancia,19,24
6115,cardona,10,4
2832,costena,1,5
1816,encuestas,14,5
2845,presento,10,6
289,genio,21,16
